"","Observed","Shannon","Simpson","nationality"
"Sample.1",104,2.94069798968582,0.86775499704904,"AAM"
"Sample.2",110,2.82247211346704,0.876588056001048,"AFR"
"Sample.3",103,2.40796249466656,0.766958716950475,"AFR"
"Sample.4",105,2.99248218987056,0.873909298023528,"AFR"
"Sample.5",103,2.10602184204607,0.684615980533017,"AFR"
"Sample.6",105,2.07113604609677,0.661447645299907,"AFR"
"Sample.7",104,3.01072768247278,0.914166090478681,"AFR"
"Sample.8",103,2.16858153246715,0.695211998987288,"AFR"
"Sample.9",101,3.33339129545416,0.942287638507036,"AFR"
"Sample.10",104,2.82927820109558,0.878028959953781,"AFR"
"Sample.11",103,1.84775874179111,0.691894537573062,"AFR"
"Sample.12",105,2.55322809393395,0.827250600120909,"AFR"
"Sample.13",103,2.80150679829973,0.880057422797259,"AFR"
"Sample.14",99,3.05358870580682,0.916709323865997,"AFR"
"Sample.15",103,1.71358883535644,0.565829042794674,"AFR"
"Sample.16",106,2.55768387575706,0.857549765621423,"AFR"
"Sample.17",105,2.68270313128509,0.837067177885326,"AFR"
"Sample.18",104,3.44789434942416,0.94589194155042,"AFR"
"Sample.19",104,2.30555278049284,0.721010172961584,"AFR"
"Sample.20",103,2.27503286027777,0.734079114047768,"AFR"
"Sample.21",104,2.47500182757905,0.777443477790246,"AFR"
"Sample.22",104,3.23098433633111,0.922848003662232,"AFR"
"Sample.23",104,2.41109065468605,0.767288734693878,"AFR"
"Sample.24",110,2.82748278950273,0.867025609593395,"AFR"
"Sample.25",104,2.99441127565523,0.896807054848902,"AFR"
"Sample.26",101,3.16563268899798,0.917708251443894,"AFR"
"Sample.27",103,2.64060070746861,0.851677793722216,"AFR"
"Sample.28",100,2.26687727569111,0.727782129587495,"AFR"
"Sample.29",100,2.00620365493803,0.640952073621801,"AFR"
"Sample.30",98,3.19560576106372,0.926036120608374,"AFR"
"Sample.31",103,1.96797790456177,0.649864640781485,"AFR"
"Sample.32",103,3.16703543618243,0.916874223088661,"AAM"
"Sample.33",102,2.81433573726922,0.874852033635829,"AAM"
"Sample.34",103,3.28017471052062,0.93083548793351,"AAM"
"Sample.35",106,3.05431410103661,0.890106648106354,"AAM"
"Sample.36",100,2.96991476490302,0.90261646781917,"AAM"
"Sample.37",103,2.83565319824539,0.877560252450317,"AAM"
"Sample.38",104,2.11920707197167,0.712473082632852,"AAM"
"Sample.39",104,3.13424736126707,0.917198637890559,"AAM"
"Sample.40",103,2.26478704287494,0.786458670027305,"AAM"
"Sample.41",102,3.10114458771716,0.926573651950781,"AAM"
"Sample.42",99,3.01210681192789,0.895407253205861,"AAM"
"Sample.43",102,3.00740550429301,0.898716301199338,"AAM"
"Sample.44",104,2.13443201017903,0.654263774085606,"AAM"
"Sample.45",107,2.75942341598997,0.844302467467021,"AAM"
"Sample.46",106,2.32544780661144,0.771343295289069,"AAM"
"Sample.47",111,2.92998518002129,0.889447144246932,"AAM"
"Sample.48",109,2.93692774707154,0.883586615983772,"AAM"
"Sample.49",108,2.76748691456291,0.851937374614197,"AAM"
"Sample.50",107,1.87250588762024,0.59968536973294,"AFR"
"Sample.51",103,2.16204469899294,0.690512879279785,"AFR"
"Sample.52",105,1.99825696187351,0.652294648476497,"AFR"
"Sample.53",107,2.92407455901933,0.881279381695284,"AFR"
"Sample.54",106,2.49514681743644,0.793228202544163,"AFR"
"Sample.55",111,2.12000461867573,0.671499792008142,"AFR"
"Sample.56",108,3.84123205766257,0.949513280172064,"AFR"
"Sample.57",105,1.82452820686371,0.585167513541246,"AFR"
"Sample.58",102,1.7925050384654,0.617708886900184,"AFR"
"Sample.59",106,2.70162674854723,0.811845680639132,"AFR"
"Sample.60",106,2.28984733973836,0.754388326343393,"AFR"
"Sample.61",108,1.72064530383866,0.584576932725338,"AFR"
"Sample.62",104,2.72564432791218,0.861817289438102,"AFR"
"Sample.63",106,2.47469840435552,0.781002524385675,"AFR"
"Sample.64",102,2.21264707908491,0.725516395309541,"AFR"
"Sample.65",102,2.18431038500615,0.734025881311381,"AFR"
"Sample.66",103,2.78338257522836,0.840919470269966,"AFR"
"Sample.67",105,2.6963521182959,0.840900756752405,"AFR"
"Sample.68",107,3.13413613916574,0.899879135845578,"AAM"
"Sample.69",103,1.84687286503576,0.5933841076912,"AAM"
"Sample.70",106,2.71033684568995,0.833841135451574,"AAM"
"Sample.71",102,2.47033544152866,0.783279260046854,"AAM"
"Sample.72",101,2.01426589275724,0.618317149470153,"AAM"
"Sample.73",102,2.82150181401128,0.880766288438227,"AAM"
"Sample.74",102,2.32280307427907,0.770116632460535,"AFR"
"Sample.75",103,2.96697865366461,0.885158755763685,"AFR"
"Sample.76",105,2.50074243158394,0.831569836240064,"AFR"
"Sample.77",105,2.11508772640871,0.718864474826389,"AFR"
"Sample.78",104,2.23485764496437,0.765114171774497,"AFR"
"Sample.79",105,1.84919999609221,0.650472862620386,"AFR"
"Sample.80",103,2.70466854923432,0.859183217908873,"AFR"
"Sample.81",105,1.53539209843446,0.522229176460127,"AFR"
"Sample.82",108,2.04862345176623,0.709684046602509,"AFR"
"Sample.83",105,2.54034642562533,0.775012243222467,"AFR"
"Sample.84",102,2.68893897234312,0.841451057230978,"AFR"
"Sample.85",103,1.92712718370833,0.691371668034913,"AFR"
"Sample.86",109,2.6475043074308,0.823262731302311,"AFR"
"Sample.87",102,2.44774515364951,0.839533948187127,"AFR"
"Sample.88",104,1.95521126666413,0.634480558079446,"AFR"
"Sample.89",102,1.31899050374052,0.437222668271698,"AFR"
"Sample.90",100,2.38991889906301,0.767550138481423,"AFR"
"Sample.91",103,1.89001748306582,0.678767567183043,"AFR"
"Sample.92",106,2.41172615630937,0.810956669389721,"AFR"
"Sample.93",106,1.80290694672563,0.57608537627957,"AFR"
"Sample.94",103,1.40653257073187,0.476825865854632,"AFR"
"Sample.95",105,1.62529724774948,0.556777514073379,"AFR"
"Sample.96",102,2.39495959779969,0.805659093810846,"AFR"
"Sample.97",105,2.46845399560228,0.821423985572468,"AFR"
"Sample.98",103,2.23578540539428,0.759502485583145,"AFR"
"Sample.99",105,1.92964772680631,0.625119162058398,"AFR"
"Sample.100",103,3.24329698311847,0.929204216541153,"AFR"
"Sample.101",104,1.86452465851602,0.659252552742854,"AFR"
"Sample.102",105,2.49707213635931,0.810114996561643,"AFR"
"Sample.103",103,1.36408487746699,0.456742233436964,"AFR"
"Sample.104",103,1.28018654461189,0.4272110146683,"AFR"
"Sample.105",108,3.12604978844967,0.923218629650375,"AFR"
"Sample.106",106,2.00902884850107,0.64518139797492,"AFR"
"Sample.107",108,1.33923084033697,0.453001838574975,"AFR"
"Sample.108",106,2.42739517621443,0.761268676270255,"AFR"
"Sample.109",107,3.42482441484615,0.947526838546911,"AAM"
"Sample.110",104,2.82185585920519,0.856615169667905,"AAM"
"Sample.111",105,3.12868846828859,0.917462295875983,"AAM"
"Sample.112",106,2.98652353808338,0.864301666272305,"AAM"
"Sample.113",105,2.58011920629715,0.801868675189539,"AAM"
"Sample.114",103,3.01331588798535,0.88130738525113,"AAM"
"Sample.115",103,2.82286225460161,0.872361120432763,"AAM"
"Sample.116",102,3.14165767168687,0.910682480694295,"AAM"
"Sample.117",102,3.13728424468411,0.917210454869874,"AAM"
"Sample.118",102,2.07112035851722,0.670296832707903,"AAM"
"Sample.119",106,3.07512321100019,0.915793700445374,"AAM"
"Sample.120",105,2.73911199484435,0.861377257556117,"AAM"
"Sample.121",103,2.87682198392562,0.875605880371437,"AAM"
"Sample.122",104,2.77808779683978,0.856009788533221,"AAM"
"Sample.123",101,2.5800604061503,0.824028427175371,"AAM"
"Sample.124",106,2.61711072689382,0.847060906450416,"AAM"
"Sample.125",101,1.55869453091547,0.551454918337796,"AAM"
"Sample.126",104,3.04251456095446,0.898490201772228,"AAM"
"Sample.127",106,3.15704717011148,0.917579058757348,"AAM"
"Sample.128",105,2.90820629741655,0.893726873092921,"AAM"
"Sample.129",105,3.16065964359754,0.910971750808941,"AAM"
"Sample.130",104,2.96291191744293,0.909944175787678,"AAM"
"Sample.131",102,2.8440774130155,0.858228990397775,"AAM"
"Sample.132",103,2.95516676994706,0.881277727067283,"AAM"
"Sample.133",103,2.23995251363608,0.70368571026348,"AAM"
"Sample.134",102,2.96816365010289,0.902275572158607,"AAM"
"Sample.135",102,3.14944887997725,0.906493397430031,"AAM"
"Sample.136",103,2.76443953734051,0.852848152278238,"AAM"
"Sample.137",103,2.85514502990771,0.881803473433753,"AAM"
"Sample.138",101,2.66555351153955,0.800355866989711,"AAM"
"Sample.139",101,2.9978633016265,0.882248469564036,"AAM"
"Sample.140",102,2.64695071124182,0.846881248445635,"AAM"
"Sample.141",100,2.87885855107858,0.874129866116268,"AAM"
"Sample.142",107,2.89080516115698,0.896637182812235,"AAM"
"Sample.143",103,2.12000460892476,0.66715379911012,"AAM"
"Sample.144",104,2.71567420447675,0.874149341513451,"AAM"
"Sample.145",103,2.40848501840387,0.740057617030216,"AAM"
"Sample.146",101,2.61864593813668,0.845154438793691,"AAM"
"Sample.147",104,3.11664256179734,0.899357736301848,"AAM"
"Sample.148",102,3.05654846928832,0.905469155659123,"AAM"
"Sample.149",102,2.76563935291832,0.878067143900021,"AAM"
"Sample.150",104,2.29020813484125,0.724342776962246,"AAM"
"Sample.151",102,2.66163871689076,0.820026922601902,"AAM"
"Sample.152",102,2.13113129352359,0.673537466167933,"AAM"
"Sample.153",103,2.22536060788459,0.703667421832295,"AAM"
"Sample.154",101,3.03330902036609,0.897865429887118,"AAM"
"Sample.155",100,3.03257672560093,0.902494541130235,"AAM"
"Sample.156",106,2.94813069111975,0.88584655557546,"AAM"
"Sample.157",101,3.24439357956327,0.915296726961396,"AAM"
"Sample.158",103,3.26265181403566,0.937675710253601,"AAM"
"Sample.159",100,1.70728629418057,0.58961455963162,"AAM"
"Sample.160",104,2.83503550991738,0.86956518151922,"AAM"
"Sample.161",102,1.7272617906893,0.596217856764534,"AAM"
"Sample.162",111,2.59298667161039,0.836725813694317,"AAM"
"Sample.163",101,2.60207902236428,0.812657374419223,"AAM"
"Sample.164",99,3.34704090353394,0.922796611800774,"AAM"
"Sample.165",104,2.98043702737804,0.887212111626417,"AAM"
"Sample.166",102,2.81713721205803,0.891156302887546,"AAM"
"Sample.167",102,3.17629049469017,0.926448700408411,"AAM"
"Sample.168",101,1.26302307607624,0.429921348261407,"AAM"
"Sample.169",103,3.11955387074879,0.923740330707354,"AAM"
"Sample.170",102,3.15468190511953,0.931135746497787,"AAM"
"Sample.171",99,3.01684940184785,0.881186397776828,"AAM"
"Sample.172",100,3.20165110879641,0.914561615448218,"AAM"
"Sample.173",100,3.04985588602158,0.912750879168033,"AAM"
"Sample.174",101,2.66364678236846,0.827445794597048,"AAM"
"Sample.175",102,2.87957541868305,0.830934183494436,"AAM"
"Sample.176",100,3.22490524705758,0.935024611054847,"AAM"
"Sample.177",103,3.24760514489175,0.924773464487924,"AAM"
"Sample.178",103,2.6932149932288,0.808507076933059,"AAM"
"Sample.179",100,3.1522080549103,0.901058469051869,"AAM"
"Sample.180",102,2.81404873347154,0.89168709428855,"AAM"
"Sample.181",100,2.35222755933903,0.805925637312366,"AAM"
"Sample.182",101,1.24936187904681,0.411814302203167,"AAM"
"Sample.183",101,2.62642696793756,0.832311943502147,"AAM"
"Sample.184",100,2.86711759056831,0.858938430909422,"AAM"
"Sample.185",100,3.00190813193938,0.87785715307379,"AAM"
"Sample.186",101,2.58984480426386,0.822372641413809,"AAM"
"Sample.187",100,1.17225576705989,0.397618807920343,"AAM"
"Sample.188",101,2.65356802429654,0.830273317771753,"AAM"
"Sample.189",100,2.17671339279874,0.701552032093399,"AAM"
"Sample.190",101,1.45414464772012,0.482708773758761,"AAM"
"Sample.191",100,2.7012685464054,0.845278305506297,"AAM"
"Sample.192",107,2.35163982779889,0.785625069589118,"AAM"
"Sample.193",101,2.28983386128328,0.753178392456612,"AAM"
"Sample.194",100,2.70788905496049,0.843286956820394,"AAM"
"Sample.195",99,3.61059974134223,0.952916225481052,"AAM"
"Sample.196",101,3.53834327315265,0.949229789383441,"AAM"
"Sample.197",103,3.23943649465246,0.897358625346435,"AAM"
"Sample.198",100,2.52822554672477,0.791247105362888,"AAM"
"Sample.199",100,3.07524448035416,0.889618755353498,"AAM"
"Sample.200",99,1.60628722745293,0.556537316775315,"AAM"
"Sample.201",99,2.96393079956217,0.875199344639446,"AAM"
"Sample.202",99,2.24419746514744,0.75393010399193,"AAM"
"Sample.203",105,3.25643886733174,0.908987673125049,"AAM"
"Sample.204",100,2.18910079960834,0.76348840296226,"AAM"
"Sample.205",100,2.88728321491362,0.855958962946754,"AAM"
"Sample.206",98,1.32808615406701,0.459622221013631,"AAM"
"Sample.207",102,1.64885298066687,0.561510232757228,"AFR"
"Sample.208",103,1.79735367260009,0.603780505102092,"AFR"
"Sample.209",104,1.3752481627568,0.453555607884119,"AFR"
"Sample.210",104,1.25550756639623,0.424740642182462,"AFR"
"Sample.211",104,2.76476742322415,0.859156038358118,"AFR"
"Sample.212",101,1.36442491176338,0.490103727349315,"AFR"
"Sample.213",109,2.04912375611618,0.685352245136186,"AFR"
"Sample.214",103,2.02830734130471,0.655501051523551,"AFR"
"Sample.215",102,3.07089574997956,0.911806624141684,"AFR"
"Sample.216",105,2.75343739224903,0.869396559912116,"AFR"
"Sample.217",104,2.52171563473263,0.795643377853735,"AFR"
"Sample.218",102,2.51270219909195,0.782572820241246,"AFR"
"Sample.219",100,2.70225775471183,0.871403377716679,"AFR"
"Sample.220",103,1.90384225451297,0.649356669542707,"AFR"
"Sample.221",104,2.82288773663059,0.875478547179666,"AFR"
"Sample.222",104,3.23652166397545,0.928473577180153,"AFR"
